Asset_Prices,C|L|5000|60|5,C|S|5500|60|5,P|L|5500|60|5,P|S|5000|60|5
4656.26,0.00,-0.00,4218.72,-1718.72
4915.96,0.00,-0.00,2920.22,-420.22
5188.24,941.20,-0.00,1558.80,-0.00
5177.72,888.59,-0.00,1611.41,-0.00
5291.18,1455.89,-0.00,1044.11,-0.00
5364.81,1824.07,-0.00,675.93,-0.00
4900.50,0.00,-0.00,2997.49,-497.49
5355.66,1778.32,-0.00,721.68,-0.00
4946.64,0.00,-0.00,2766.81,-266.81
4925.25,0.00,-0.00,2873.73,-373.73
5446.34,2231.70,-0.00,268.30,-0.00
4471.86,0.00,-0.00,5140.72,-2640.72
4750.39,0.00,-0.00,3748.03,-1248.03
4721.25,0.00,-0.00,3893.76,-1393.76
5216.70,1083.51,-0.00,1416.49,-0.00
4910.38,0.00,-0.00,2948.09,-448.09
5170.49,852.45,-0.00,1647.55,-0.00
5456.37,2281.84,-0.00,218.16,-0.00
4936.11,0.00,-0.00,2819.46,-319.46
4734.16,0.00,-0.00,3829.22,-1329.22
4785.27,0.00,-0.00,3573.67,-1073.67
5314.07,1570.37,-0.00,929.63,-0.00
5799.48,3997.41,-1497.41,0.00,-0.00
5265.41,1327.07,-0.00,1172.93,-0.00
4708.82,0.00,-0.00,3955.89,-1455.89
4715.87,0.00,-0.00,3920.63,-1420.63
5209.75,1048.74,-0.00,1451.26,-0.00
5092.07,460.36,-0.00,2039.64,-0.00
6233.16,6165.80,-3665.80,0.00,-0.00
4733.22,0.00,-0.00,3833.90,-1333.90
4431.14,0.00,-0.00,5344.30,-2844.30
5658.35,3291.73,-791.73,0.00,-0.00
5195.79,978.95,-0.00,1521.05,-0.00
5343.24,1716.22,-0.00,783.78,-0.00
5413.65,2068.27,-0.00,431.73,-0.00
5337.40,1687.02,-0.00,812.98,-0.00
5447.54,2237.72,-0.00,262.28,-0.00
5198.63,993.14,-0.00,1506.86,-0.00
4799.07,0.00,-0.00,3504.63,-1004.63
4814.50,0.00,-0.00,3427.51,-927.51
5240.09,1200.43,-0.00,1299.57,-0.00
5220.24,1101.22,-0.00,1398.78,-0.00
5615.02,3075.11,-575.11,0.00,-0.00
4638.14,0.00,-0.00,4309.28,-1809.28
4847.66,0.00,-0.00,3261.71,-761.71
5006.77,33.83,-0.00,2466.17,-0.00
4781.36,0.00,-0.00,3593.22,-1093.22
5493.45,2467.26,-0.00,32.74,-0.00
4889.29,0.00,-0.00,3053.57,-553.57
5184.59,922.93,-0.00,1577.07,-0.00
5540.48,2702.41,-202.41,0.00,-0.00
4746.58,0.00,-0.00,3767.08,-1267.08
4991.81,0.00,-0.00,2540.96,-40.96
4731.49,0.00,-0.00,3842.57,-1342.57
4913.48,0.00,-0.00,2932.59,-432.59
5260.27,1301.34,-0.00,1198.66,-0.00
4443.30,0.00,-0.00,5283.50,-2783.50
5191.32,956.61,-0.00,1543.39,-0.00
4658.49,0.00,-0.00,4207.53,-1707.53
4549.23,0.00,-0.00,4753.86,-2253.86
5789.82,3949.09,-1449.09,0.00,-0.00
5742.02,3710.08,-1210.08,0.00,-0.00
4502.39,0.00,-0.00,4988.06,-2488.06
5389.29,1946.47,-0.00,553.53,-0.00
4649.48,0.00,-0.00,4252.58,-1752.58
4675.69,0.00,-0.00,4121.53,-1621.53
4947.02,0.00,-0.00,2764.91,-264.91
5063.59,317.94,-0.00,2182.06,-0.00
4990.25,0.00,-0.00,2548.75,-48.75
4811.63,0.00,-0.00,3441.87,-941.87
4990.98,0.00,-0.00,2545.12,-45.12
5068.06,340.30,-0.00,2159.70,-0.00
