Asset_Prices,C|S|4900|60|1,P|L|4900|60|1,C|L|5000|60|2,P|S|5000|60|2,P|L|5300|60|1,C|L|5300|60|1
4639.62,-0.00,260.38,0.00,-720.75,660.38,0.00
5625.43,-725.43,0.00,1250.87,-0.00,0.00,325.43
5242.79,-342.79,0.00,485.59,-0.00,57.21,0.00
5629.09,-729.09,0.00,1258.17,-0.00,0.00,329.09
4999.45,-99.45,0.00,0.00,-1.09,300.55,0.00
4830.90,-0.00,69.10,0.00,-338.20,469.10,0.00
5229.98,-329.98,0.00,459.96,-0.00,70.02,0.00
5282.61,-382.61,0.00,565.22,-0.00,17.39,0.00
4423.51,-0.00,476.49,0.00,-1152.99,876.49,0.00
5338.82,-438.82,0.00,677.63,-0.00,0.00,38.82
5335.76,-435.76,0.00,671.52,-0.00,0.00,35.76
4236.13,-0.00,663.87,0.00,-1527.74,1063.87,0.00
5225.65,-325.65,0.00,451.31,-0.00,74.35,0.00
5308.73,-408.73,0.00,617.46,-0.00,0.00,8.73
4810.36,-0.00,89.64,0.00,-379.28,489.64,0.00
5933.46,-1033.46,0.00,1866.93,-0.00,0.00,633.46
5087.96,-187.96,0.00,175.93,-0.00,212.04,0.00
4232.02,-0.00,667.98,0.00,-1535.96,1067.98,0.00
5163.90,-263.90,0.00,327.81,-0.00,136.10,0.00
4233.18,-0.00,666.82,0.00,-1533.64,1066.82,0.00
4898.91,-0.00,1.09,0.00,-202.18,401.09,0.00
5335.12,-435.12,0.00,670.23,-0.00,0.00,35.12
5636.09,-736.09,0.00,1272.18,-0.00,0.00,336.09
4666.95,-0.00,233.05,0.00,-666.11,633.05,0.00
5203.81,-303.81,0.00,407.63,-0.00,96.19,0.00
5431.06,-531.06,0.00,862.13,-0.00,0.00,131.06
5218.28,-318.28,0.00,436.57,-0.00,81.72,0.00
4918.33,-18.33,0.00,0.00,-163.33,381.67,0.00
4816.05,-0.00,83.95,0.00,-367.89,483.95,0.00
5423.92,-523.92,0.00,847.85,-0.00,0.00,123.92
5174.67,-274.67,0.00,349.34,-0.00,125.33,0.00
5185.76,-285.76,0.00,371.52,-0.00,114.24,0.00
5474.40,-574.40,0.00,948.80,-0.00,0.00,174.40
4413.38,-0.00,486.62,0.00,-1173.24,886.62,0.00
4368.88,-0.00,531.12,0.00,-1262.23,931.12,0.00
4875.41,-0.00,24.59,0.00,-249.18,424.59,0.00
4575.32,-0.00,324.68,0.00,-849.35,724.68,0.00
4666.39,-0.00,233.61,0.00,-667.21,633.61,0.00
5315.10,-415.10,0.00,630.20,-0.00,0.00,15.10
4955.04,-55.04,0.00,0.00,-89.91,344.96,0.00
5310.90,-410.90,0.00,621.81,-0.00,0.00,10.90
4775.02,-0.00,124.98,0.00,-449.95,524.98,0.00
5151.97,-251.97,0.00,303.95,-0.00,148.03,0.00
4896.79,-0.00,3.21,0.00,-206.42,403.21,0.00
5148.69,-248.69,0.00,297.38,-0.00,151.31,0.00
5385.78,-485.78,0.00,771.56,-0.00,0.00,85.78
5026.74,-126.74,0.00,53.48,-0.00,273.26,0.00
5569.78,-669.78,0.00,1139.56,-0.00,0.00,269.78
4506.65,-0.00,393.35,0.00,-986.70,793.35,0.00
5475.57,-575.57,0.00,951.14,-0.00,0.00,175.57
5223.24,-323.24,0.00,446.47,-0.00,76.76,0.00
4555.43,-0.00,344.57,0.00,-889.14,744.57,0.00
5513.13,-613.13,0.00,1026.25,-0.00,0.00,213.13
5615.23,-715.23,0.00,1230.47,-0.00,0.00,315.23
5002.06,-102.06,0.00,4.13,-0.00,297.94,0.00
4669.77,-0.00,230.23,0.00,-660.46,630.23,0.00
5445.57,-545.57,0.00,891.15,-0.00,0.00,145.57
5273.87,-373.87,0.00,547.73,-0.00,26.13,0.00
5074.81,-174.81,0.00,149.61,-0.00,225.19,0.00
4644.84,-0.00,255.16,0.00,-710.32,655.16,0.00
5526.43,-626.43,0.00,1052.86,-0.00,0.00,226.43
5431.25,-531.25,0.00,862.51,-0.00,0.00,131.25
4621.99,-0.00,278.01,0.00,-756.03,678.01,0.00
5308.84,-408.84,0.00,617.69,-0.00,0.00,8.84
4307.34,-0.00,592.66,0.00,-1385.32,992.66,0.00
5145.19,-245.19,0.00,290.37,-0.00,154.81,0.00
4863.92,-0.00,36.08,0.00,-272.16,436.08,0.00
5972.00,-1072.00,0.00,1944.00,-0.00,0.00,672.00
4657.34,-0.00,242.66,0.00,-685.31,642.66,0.00
5214.25,-314.25,0.00,428.49,-0.00,85.75,0.00
5083.46,-183.46,0.00,166.91,-0.00,216.54,0.00
4137.32,-0.00,762.68,0.00,-1725.36,1162.68,0.00
5294.79,-394.79,0.00,589.58,-0.00,5.21,0.00
4874.93,-0.00,25.07,0.00,-250.14,425.07,0.00
4913.10,-13.10,0.00,0.00,-173.80,386.90,0.00
5911.39,-1011.39,0.00,1822.77,-0.00,0.00,611.39
4887.01,-0.00,12.99,0.00,-225.97,412.99,0.00
5045.32,-145.32,0.00,90.63,-0.00,254.68,0.00
4655.12,-0.00,244.88,0.00,-689.77,644.88,0.00
4879.25,-0.00,20.75,0.00,-241.50,420.75,0.00
5361.07,-461.07,0.00,722.14,-0.00,0.00,61.07
4696.37,-0.00,203.63,0.00,-607.27,603.63,0.00
4859.73,-0.00,40.27,0.00,-280.53,440.27,0.00
5044.02,-144.02,0.00,88.04,-0.00,255.98,0.00
4853.30,-0.00,46.70,0.00,-293.41,446.70,0.00
5513.76,-613.76,0.00,1027.51,-0.00,0.00,213.76
5314.33,-414.33,0.00,628.66,-0.00,0.00,14.33
4478.26,-0.00,421.74,0.00,-1043.48,821.74,0.00
5443.40,-543.40,0.00,886.80,-0.00,0.00,143.40
5228.96,-328.96,0.00,457.92,-0.00,71.04,0.00
5302.13,-402.13,0.00,604.26,-0.00,0.00,2.13
4917.14,-17.14,0.00,0.00,-165.71,382.86,0.00
4956.31,-56.31,0.00,0.00,-87.37,343.69,0.00
4267.14,-0.00,632.86,0.00,-1465.71,1032.86,0.00
4719.73,-0.00,180.27,0.00,-560.54,580.27,0.00
5052.62,-152.62,0.00,105.25,-0.00,247.38,0.00
5072.98,-172.98,0.00,145.96,-0.00,227.02,0.00
4744.09,-0.00,155.91,0.00,-511.82,555.91,0.00
5046.94,-146.94,0.00,93.88,-0.00,253.06,0.00
5725.81,-825.81,0.00,1451.63,-0.00,0.00,425.81
5354.86,-454.86,0.00,709.72,-0.00,0.00,54.86
5553.43,-653.43,0.00,1106.85,-0.00,0.00,253.43
5367.24,-467.24,0.00,734.48,-0.00,0.00,67.24
4829.47,-0.00,70.53,0.00,-341.05,470.53,0.00
5879.46,-979.46,0.00,1758.92,-0.00,0.00,579.46
5520.45,-620.45,0.00,1040.89,-0.00,0.00,220.45
5012.02,-112.02,0.00,24.04,-0.00,287.98,0.00
5304.37,-404.37,0.00,608.74,-0.00,0.00,4.37
4748.97,-0.00,151.03,0.00,-502.06,551.03,0.00
4403.85,-0.00,496.15,0.00,-1192.29,896.15,0.00
5299.90,-399.90,0.00,599.80,-0.00,0.10,0.00
5032.34,-132.34,0.00,64.67,-0.00,267.66,0.00
5121.35,-221.35,0.00,242.70,-0.00,178.65,0.00
4845.42,-0.00,54.58,0.00,-309.17,454.58,0.00
5068.65,-168.65,0.00,137.29,-0.00,231.35,0.00
5730.76,-830.76,0.00,1461.53,-0.00,0.00,430.76
5163.91,-263.91,0.00,327.82,-0.00,136.09,0.00
5580.20,-680.20,0.00,1160.40,-0.00,0.00,280.20
4281.63,-0.00,618.37,0.00,-1436.74,1018.37,0.00
5231.75,-331.75,0.00,463.50,-0.00,68.25,0.00
5746.00,-846.00,0.00,1491.99,-0.00,0.00,446.00
5411.22,-511.22,0.00,822.44,-0.00,0.00,111.22
5207.69,-307.69,0.00,415.38,-0.00,92.31,0.00
5567.89,-667.89,0.00,1135.77,-0.00,0.00,267.89
4914.54,-14.54,0.00,0.00,-170.92,385.46,0.00
5156.69,-256.69,0.00,313.38,-0.00,143.31,0.00
5524.86,-624.86,0.00,1049.72,-0.00,0.00,224.86
5523.39,-623.39,0.00,1046.78,-0.00,0.00,223.39
4579.24,-0.00,320.76,0.00,-841.53,720.76,0.00
4634.66,-0.00,265.34,0.00,-730.68,665.34,0.00
5134.85,-234.85,0.00,269.70,-0.00,165.15,0.00
4532.38,-0.00,367.62,0.00,-935.23,767.62,0.00
5351.31,-451.31,0.00,702.62,-0.00,0.00,51.31
4458.25,-0.00,441.75,0.00,-1083.50,841.75,0.00
5273.11,-373.11,0.00,546.23,-0.00,26.89,0.00
4460.65,-0.00,439.35,0.00,-1078.69,839.35,0.00
6779.84,-1879.84,0.00,3559.68,-0.00,0.00,1479.84
4951.16,-51.16,0.00,0.00,-97.67,348.84,0.00
5334.84,-434.84,0.00,669.69,-0.00,0.00,34.84
4730.57,-0.00,169.43,0.00,-538.85,569.43,0.00
4721.48,-0.00,178.52,0.00,-557.03,578.52,0.00
5043.58,-143.58,0.00,87.16,-0.00,256.42,0.00
5073.66,-173.66,0.00,147.33,-0.00,226.34,0.00
5416.71,-516.71,0.00,833.43,-0.00,0.00,116.71
5974.43,-1074.43,0.00,1948.86,-0.00,0.00,674.43
4565.75,-0.00,334.25,0.00,-868.49,734.25,0.00
5182.50,-282.50,0.00,365.01,-0.00,117.50,0.00
4869.37,-0.00,30.63,0.00,-261.26,430.63,0.00
4584.04,-0.00,315.96,0.00,-831.92,715.96,0.00
5730.82,-830.82,0.00,1461.63,-0.00,0.00,430.82
5383.11,-483.11,0.00,766.21,-0.00,0.00,83.11
5116.86,-216.86,0.00,233.72,-0.00,183.14,0.00
5675.23,-775.23,0.00,1350.46,-0.00,0.00,375.23
4649.82,-0.00,250.18,0.00,-700.37,650.18,0.00
5369.96,-469.96,0.00,739.91,-0.00,0.00,69.96
5589.89,-689.89,0.00,1179.79,-0.00,0.00,289.89
5051.21,-151.21,0.00,102.41,-0.00,248.79,0.00
4680.47,-0.00,219.53,0.00,-639.06,619.53,0.00
5865.50,-965.50,0.00,1731.00,-0.00,0.00,565.50
4286.30,-0.00,613.70,0.00,-1427.39,1013.70,0.00
4995.53,-95.53,0.00,0.00,-8.93,304.47,0.00
4551.91,-0.00,348.09,0.00,-896.18,748.09,0.00
5544.06,-644.06,0.00,1088.11,-0.00,0.00,244.06
4968.66,-68.66,0.00,0.00,-62.69,331.34,0.00
5343.84,-443.84,0.00,687.68,-0.00,0.00,43.84
5137.11,-237.11,0.00,274.21,-0.00,162.89,0.00
4748.79,-0.00,151.21,0.00,-502.41,551.21,0.00
5231.10,-331.10,0.00,462.20,-0.00,68.90,0.00
4949.74,-49.74,0.00,0.00,-100.52,350.26,0.00
4998.04,-98.04,0.00,0.00,-3.91,301.96,0.00
4326.64,-0.00,573.36,0.00,-1346.72,973.36,0.00
5068.38,-168.38,0.00,136.76,-0.00,231.62,0.00
5221.16,-321.16,0.00,442.32,-0.00,78.84,0.00
5474.94,-574.94,0.00,949.88,-0.00,0.00,174.94
4954.32,-54.32,0.00,0.00,-91.36,345.68,0.00
5030.33,-130.33,0.00,60.67,-0.00,269.67,0.00
4939.65,-39.65,0.00,0.00,-120.70,360.35,0.00
5021.02,-121.02,0.00,42.05,-0.00,278.98,0.00
4988.12,-88.12,0.00,0.00,-23.76,311.88,0.00
5061.18,-161.18,0.00,122.36,-0.00,238.82,0.00
5702.94,-802.94,0.00,1405.88,-0.00,0.00,402.94
4642.34,-0.00,257.66,0.00,-715.32,657.66,0.00
4644.17,-0.00,255.83,0.00,-711.66,655.83,0.00
5483.16,-583.16,0.00,966.32,-0.00,0.00,183.16
5019.94,-119.94,0.00,39.87,-0.00,280.06,0.00
4936.06,-36.06,0.00,0.00,-127.88,363.94,0.00
5894.42,-994.42,0.00,1788.84,-0.00,0.00,594.42
5567.45,-667.45,0.00,1134.89,-0.00,0.00,267.45
4884.73,-0.00,15.27,0.00,-230.54,415.27,0.00
4320.47,-0.00,579.53,0.00,-1359.07,979.53,0.00
5252.35,-352.35,0.00,504.70,-0.00,47.65,0.00
5333.29,-433.29,0.00,666.58,-0.00,0.00,33.29
5286.94,-386.94,0.00,573.88,-0.00,13.06,0.00
5017.48,-117.48,0.00,34.96,-0.00,282.52,0.00
